,country,ALL_Year_Pop_Weig_PM
0,Afghanistan,15.021717479674797
1,Akrotiri and Dhekelia,12.007916666666667
2,Albania,16.14427927927928
3,Algeria,6.043163508421986
4,American Samoa,1.1946354166666666
5,Andorra,8.337738095238095
6,Angola,21.539192229038854
7,Anguilla,2.6586944444444445
8,Antigua and Barbuda,2.755833333333333
9,Argentina,11.689074535192564
10,Armenia,16.68814393939394
11,Aruba,3.671666666666667
12,Australia,3.8099563351095327
13,Austria,13.957876773049646
14,Azerbaijan,13.342679324894515
15,Bahamas,3.9892578125
16,Bahrain,17.054895833333333
17,Bangladesh,60.97785807291667
18,Barbados,2.6777272727272727
19,Belarus,15.140893361581922
20,Belgium,12.690643939393938
21,Belize,11.700416666666667
22,Benin,17.164412393162394
23,Bermuda,3.9579924242424243
24,Bhutan,25.819422764227642
25,Bolivia,22.779549851190474
26,"Bonaire, Sint Eustatius and Saba",3.4538888888888892
27,Bosnia and Herzegovina,25.714699074074076
28,Botswana,14.577180555555556
29,Bouvet Island,
30,Brazil,10.115410609595598
31,British Indian Ocean Territory,
32,British Virgin Islands,2.2431666666666663
33,Brunei,8.410309829059829
34,Bulgaria,20.77014258555133
35,Burkina Faso,8.337907407407407
36,Burundi,33.30162593984962
37,Cabo Verde,2.370227272727273
38,Cambodia,17.903768564356437
39,Cameroon,33.26553879310345
40,Canada,6.02659169550173
41,Cayman Islands,6.765555555555555
42,Central African Republic,24.204305555555557
43,Chad,10.335060606060605
44,Chile,12.706113636363638
45,China,36.660072115384615
46,Christmas Island,3.18125
47,Clipperton Island,
48,Cocos Islands,1.9433333333333334
49,Colombia,15.271573494335122
50,Comoros,6.976527777777778
51,Cook Islands,1.280909090909091
52,Costa Rica,12.050198170731708
53,Croatia,17.804334821428572
54,Cuba,6.882757936507936
55,Curaçao,4.094166666666666
56,Cyprus,12.490666666666666
57,Czechia,17.07187925170068
58,Côte d'Ivoire,11.78739898989899
59,Democratic Republic of the Congo,34.325346931659695
60,Denmark,9.685791245791245
61,Djibouti,15.685238095238095
62,Dominica,2.6060833333333333
63,Dominican Republic,7.4726854838709675
64,Ecuador,15.149783258594917
65,Egypt,16.775710784313727
66,El Salvador,24.867971491228072
67,Equatorial Guinea,24.7786328125
68,Eritrea,12.829658333333334
69,Estonia,8.705031763826607
70,Ethiopia,14.457568565400843
71,Falkland Islands,1.7133333333333332
72,Faroe Islands,2.649
73,Fiji,2.4001944444444447
74,Finland,5.9296428571428565
75,France,10.726358506944445
76,French Guiana,5.9968650793650795
77,French Polynesia,1.2331666666666667
78,French Southern Territories,
79,Gabon,23.59329954954955
80,Gambia,6.718063063063063
81,Georgia,14.141588164251209
82,Germany,12.207619933829612
83,Ghana,13.996391025641024
84,Gibraltar,10.012916666666667
85,Greece,13.349791666666665
86,Greenland,1.2873958333333333
87,Grenada,2.7224404761904766
88,Guadeloupe,2.7456510416666666
89,Guam,1.3244298245614035
90,Guatemala,27.45400541431262
91,Guernsey,8.280659722222223
92,Guinea,11.439583333333333
93,Guinea-Bissau,8.177038288288287
94,Guyana,7.778969109195402
95,Haiti,8.470985772357723
96,Heard Island and McDonald Island,
97,Honduras,24.22032438478747
98,Hungary,18.37097222222222
99,Iceland,2.862149859943978
100,India,42.661310386473424
101,Indonesia,16.011909514304723
102,Iran,15.628362873134328
103,Iraq,22.263341503267974
104,Ireland,6.3086320754716985
105,Isle of Man,6.455079365079365
106,Israel,11.696369047619047
107,Italy,14.64207196969697
108,Jamaica,10.981607142857143
109,Japan,11.330622351206928
110,Jersey,8.724444444444444
111,Jordan,13.850649038461539
112,Kazakhstan,11.574128131021196
113,Kenya,16.587109722222223
114,Kiribati,1.3950000000000002
115,Kosovo,25.436569444444444
116,Kuwait,16.09173611111111
117,Kyrgyzstan,14.478672480620155
118,Laos,27.267588028169012
119,Latvia,14.312275641025641
120,Lebanon,15.509944444444445
121,Lesotho,23.368458333333333
122,Liberia,12.225934343434343
123,Libya,6.815075757575758
124,Liechtenstein,13.06753787878788
125,Lithuania,14.474817708333333
126,Luxembourg,11.636284722222221
127,Macedonia,25.592286458333334
128,Madagascar,9.383939393939393
129,Malawi,19.14178840877915
130,Malaysia,14.268920717592591
131,Maldives,10.114166666666668
132,Mali,5.5239666666666665
133,Malta,7.6343443627450975
134,Marshall Islands,0.8991304347826087
135,Martinique,3.386848958333333
136,Mauritania,3.058816287878788
137,Mauritius,5.380151515151515
138,Mayotte,8.48595588235294
139,Micronesia,1.2964211309523808
140,Moldova,16.35170045045045
141,Monaco,12.811250000000001
142,Mongolia,12.723288735983692
143,Montenegro,17.782242063492067
144,Montserrat,2.8140277777777776
145,Morocco,7.1985879629629625
146,Mozambique,15.174696382428941
147,Myanmar,30.67139583333333
148,México,15.469997456247457
149,Namibia,15.05766355140187
150,Nauru,1.791845238095238
151,Nepal,36.5800974025974
152,Netherlands,12.581473004694836
